序号,名  称,一级分类编码,二级分类编码,食部(%),水分(g),能量（千卡）,能量（千焦）,蛋白质(g),脂肪(g),碳水化物(g),膳食纤维(g),胆固醇(mg),灰分(g),维生素A(μgRE),硫胺素(mg),核黄素(mg),维生素B6(mg),维生素B12(mg),叶酸(ug),烟碱(mg),维生素C(mg),维生素E(mg),钙(mg),磷(mg),钾(mg),钠(mg),镁(mg),铁(mg),锌(mg),硒(mg),铜(mg),锰(mg),碘(mg),胡萝卜素(μg),视黄醇(μg),尼克酸/烟酸(mg),α-维生素E(mg)
364,结球甘蓝（紫）[圆白菜],45,45211,86,91.8,25,106,1.2,0.2,6.2,0.0,0,0.6,0.0,0.04,0.03,0.0,0.0,0.0,0.15,26.0,0.0,65,22.0,177,0.0,15,0.4,0.16,0.24,0.02,0.15,0,0,0.0,0.0,0.0
365,抱子甘蓝[小圆白菜],45,45212,87,86.7,36,150,3.5,0.2,8.8,0.0,0,1.0,3.0,0.06,0.05,0.0,0.0,0.0,0.54,38.0,0.0,59,60.0,350,0.0,24,0.6,0.35,0.65,0.05,0.19,0,0,3.0,0.0,0.0
366,羽衣甘蓝,45,45213,100,87.2,69,289,5.0,0.4,5.7,3.2,0,1.7,364.0,0.07,0.18,0.0,0.0,0.0,1.09,63.0,1.12,66,82.0,395,0.0,53,1.6,0.56,0.0,0.06,0.4,0,0,364.0,0.0,0.0
367,盖菜,45,45214,94,94.8,13,55,1.5,0.2,2.8,0.0,0,0.9,41.0,0.02,0.07,0.0,0.0,0.0,0.21,14.0,0.75,76,33.0,150,0.0,28,0.5,0.47,0.56,0.04,0.15,0,0,41.0,0.0,0.0
368,芥蓝[甘蓝菜，盖蓝菜],45,45215,98,91.0,24,98,3.1,0.3,4.1,0.0,0,1.5,0.0,0.03,0.12,0.0,0.0,0.0,0.68,37.0,0.0,121,52.0,345,0.0,40,1.0,0.4,0.39,0.03,0.31,0,0,0.0,0.0,0.0
369,菜花（白色）[花椰菜],45,45216,82,93.2,20,83,1.7,0.2,4.2,2.1,0,0.7,1.0,0.04,0.04,0.0,0.0,0.0,0.32,32.0,0.0,31,32.0,206,0.0,18,0.4,0.17,2.86,0.02,0.09,0,0,1.0,0.0,0.0
370,西兰花[绿菜花],45,45217,83,91.6,27,111,3.5,0.6,3.7,0.0,0,0.6,13.0,0.06,0.08,0.0,0.0,0.0,0.73,56.0,0.76,50,61.0,179,0.0,22,0.9,0.46,0.43,0.03,0.06,0,0,13.0,0.0,0.0
371,菠菜（鲜）[赤根菜],45,45301,89,91.2,28,117,2.6,0.3,4.5,1.7,0,1.4,487.0,0.04,0.11,0.0,0.0,0.0,0.0,32.0,1.74,66,47.0,311,0.0,58,2.9,0.85,0.97,0.1,0.66,0,2920,487.0,0.6,1.46
372,菠菜（脱水）,45,45302,100,9.2,308,1290,6.4,0.6,75.7,12.7,0,8.1,598.0,0.2,0.18,0.0,0.0,0.0,0.0,82.0,7.73,411,222.0,919,0.0,183,25.9,3.91,7.02,2.08,1.61,0,3590,598.0,3.9,0.0
373,冬寒菜（鲜）[冬苋菜，冬葵],45,45303,58,89.6,34,144,3.9,0.4,4.9,2.2,0,1.2,1158.0,0.15,0.05,0.0,0.0,0.0,0.0,20.0,0.0,82,56.0,280,0.0,30,2.4,1.37,2.41,0.13,2.5,0,6950,1158.0,0.6,0.0
374,胡萝卜缨（红，鲜）,45,45305,100,82.2,48,199,1.7,0.4,11.3,4.0,0,4.4,162.0,0.04,0.0,0.0,0.0,0.0,0.0,41.0,0.0,350,39.0,493,0.0,33,8.1,0.67,0.89,0.12,0.36,0,970,162.0,0.0,0.0
375,苦菜[节节花，拒马菜],45,45306,100,85.3,46,192,2.8,0.6,10.0,5.4,0,1.3,90.0,0.09,0.11,0.0,0.0,0.0,0.0,19.0,2.93,66,41.0,180,0.0,37,9.4,0.86,0.5,0.17,1.53,0,540,90.0,0.6,1.99
376,萝卜缨（白）,45,45307,100,90.7,17,72,2.6,0.3,1.7,1.4,0,4.7,0.0,0.02,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
377,萝卜缨（青）,45,45308,100,87.2,38,159,3.1,0.1,7.6,2.9,0,2.0,33.0,0.07,0.08,0.0,0.0,0.0,0.0,41.0,0.48,110,27.0,424,0.0,27,1.4,0.3,0.46,0.03,0.86,0,200,33.0,0.2,0.48
378,萝卜缨（小萝卜）,45,45309,93,92.8,23,95,1.6,0.3,4.1,1.4,0,1.2,118.0,0.03,0.13,0.0,0.0,0.0,0.0,51.0,0.87,238,32.0,101,0.0,13,0.2,0.29,0.82,0.04,0.45,0,710,118.0,0.4,0.59
379,落葵[木耳菜，软浆菜],45,45310,76,92.8,23,97,1.6,0.3,4.3,1.5,0,1.0,337.0,0.06,0.06,0.0,0.0,0.0,0.0,34.0,1.66,166,42.0,140,0.0,62,3.2,0.32,2.6,0.07,0.43,0,2020,337.0,0.6,1.39
380,芹菜茎,45,45312,67,93.1,22,93,1.2,0.2,4.5,1.2,0,1.0,57.0,0.02,0.06,0.0,0.0,0.0,0.0,8.0,1.32,80,38.0,206,0.0,18,1.2,0.24,0.57,0.09,0.16,0,340,57.0,0.4,0.47
381,芹菜叶（鲜）,45,45313,100,89.4,35,146,2.6,0.6,5.9,2.2,0,1.5,488.0,0.08,0.15,0.0,0.0,0.0,0.0,22.0,2.5,40,64.0,137,0.0,58,0.6,1.14,2.0,0.99,0.54,0,2930,488.0,0.9,0.57
382,生菜（牛俐）[油麦菜],45,45314,81,95.7,16,67,1.4,0.4,2.1,0.6,0,0.4,60.0,0.0,0.1,0.0,0.0,0.0,0.0,20.0,0.0,70,31.0,100,0.0,29,1.2,0.43,1.55,0.08,0.15,0,360,60.0,0.2,0.0
383,甜菜叶（鲜）,45,45316,100,92.2,22,90,1.8,0.1,4.0,1.3,0,2.0,610.0,0.1,0.22,0.0,0.0,0.0,0.0,30.0,0.0,117,40.0,547,0.0,72,3.3,0.38,0.0,0.19,0.0,0,0,610.0,0.4,0.0
384,香菜（鲜）[芫荽],45,45317,81,90.5,33,139,1.8,0.4,6.2,1.2,0,1.1,193.0,0.04,0.14,0.0,0.0,0.0,0.0,48.0,0.8,101,49.0,272,0.0,33,2.9,0.45,0.53,0.21,0.28,0,1160,193.0,2.2,0.68
385,香菜（脱水）,45,45318,100,9.3,310,1296,7.4,1.3,71.2,8.2,0,10.8,472.0,0.17,0.28,0.0,0.0,0.0,0.0,75.0,22.15,1723,151.0,1031,0.0,269,22.3,1.71,14.15,1.65,2.46,0,2830,472.0,6.0,0.0
386,苋菜（绿，鲜）,45,45319,74,90.2,30,123,2.8,0.3,5.0,2.2,0,1.7,352.0,0.03,0.12,0.0,0.0,0.0,0.0,47.0,0.36,187,59.0,207,0.0,119,5.4,0.8,0.52,0.13,0.78,0,2110,352.0,0.8,0.15
387,苋菜（紫，鲜）[红苋],45,45320,73,88.8,35,146,2.8,0.4,5.9,1.8,0,2.1,248.0,0.03,0.1,0.0,0.0,0.0,0.0,30.0,1.54,178,63.0,340,0.0,38,2.9,0.7,0.09,0.07,0.35,0,1490,248.0,0.6,0.88
388,茼蒿（鲜）[蓬蒿菜，艾菜],45,45321,82,93.0,24,98,1.9,0.3,3.9,1.2,0,0.9,252.0,0.04,0.09,0.0,0.0,0.0,0.0,18.0,0.92,73,36.0,220,0.0,20,2.5,0.35,0.6,0.06,0.28,0,1510,252.0,0.6,0.46
389,茴香（鲜）[小茴香],45,45322,86,91.2,27,114,2.5,0.4,4.2,1.6,0,1.7,402.0,0.06,0.09,0.0,0.0,0.0,0.0,26.0,0.94,154,23.0,149,0.0,46,1.2,0.73,0.77,0.04,0.31,0,2410,402.0,0.8,0.31
390,荠菜（鲜）[蓟菜，菱角菜],45,45323,88,90.6,31,130,2.9,0.4,4.7,1.7,0,1.4,432.0,0.04,0.15,0.0,0.0,0.0,0.0,43.0,1.01,294,81.0,280,0.0,37,5.4,0.68,0.51,0.29,0.65,0,2590,432.0,0.6,0.36
391,莴笋（鲜）[莴苣],45,45324,62,95.5,15,62,1.0,0.1,2.8,0.6,0,0.6,25.0,0.02,0.02,0.0,0.0,0.0,0.0,4.0,0.19,23,48.0,212,0.0,19,0.9,0.33,0.54,0.07,0.19,0,150,25.0,0.5,0.08
392,番杏[新西兰菠菜、夏菠菜],45,45327,100,94.0,15,64,1.8,0.1,3.1,0.0,0,1.2,120.0,0.04,0.09,0.0,0.0,0.0,0.23,0.0,0.23,136,25.0,107,0.0,38,0.8,0.36,0.32,0.04,0.76,0,0,120.0,0.0,0.0
393,樱桃萝卜缨,45,45328,10,94.0,14,59,2.0,0.1,2.7,2.3,0,1.2,120.0,0.04,0.09,0.0,0.0,0.0,0.26,14.0,1.4,56,50.0,126,0.0,45,3.9,0.4,0.58,0.03,0.51,0,0,120.0,0.0,0.0
394,白凤菜,45,45329,100,93.4,16,66,1.6,0.2,4.0,0.0,0,1.0,89.0,0.03,0.06,0.0,0.0,0.0,0.77,6.0,0.12,41,29.0,192,0.0,63,1.8,0.23,0.77,0.09,0.7,0,0,89.0,0.0,0.0
395,紫背天葵[红风菜、血皮菜],45,45330,100,93.1,18,73,1.9,0.0,3.8,0.0,0,1.2,154.0,0.05,0.08,0.0,0.0,0.0,0.27,3.0,0.2,69,31.0,367,0.0,72,0.8,0.37,0.92,0.09,0.8,0,0,154.0,0.0,0.0
396,芹菜（茎）[旱芹，药芹],45,45331,100,95.4,13,55,0.4,0.2,3.1,1.0,0,0.9,2.0,0.01,0.03,0.0,0.0,0.0,0.22,2.0,0.0,15,13.0,128,0.0,16,0.2,0.14,0.07,0.03,0.04,0,0,2.0,0.0,0.0
397,西芹[西洋芹菜，美芹],45,45332,85,93.6,17,72,0.6,0.1,4.8,2.2,0,0.9,2.0,0.01,0.03,0.0,0.0,0.0,0.22,4.0,0.0,36,35.0,15,0.0,15,0.2,0.1,0.1,0.02,0.06,0,0,2.0,0.0,0.0
398,生菜（叶用莴苣）,45,45333,94,96.7,12,51,1.6,0.4,1.1,0.0,0,0.2,2.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,14,12.0,91,0.0,7,0.2,0.12,0.04,0.01,0.06,0,0,2.0,0.0,0.0
399,油麦菜,45,45334,81,95.9,12,50,1.1,0.4,2.1,0.0,0,0.5,63.0,0.03,0.07,0.0,0.0,0.0,0.56,2.0,0.45,60,26.0,164,0.0,23,0.5,0.24,0.16,0.02,0.06,0,0,63.0,0.0,0.0
400,叶甜菜（白梗）,45,45335,100,94.2,13,53,1.6,0.1,2.8,2.2,0,1.3,0.0,0.01,0.08,0.0,0.0,0.0,0.23,7.4,0.34,48,26.0,24,0.0,48,0.6,0.22,3.0,0.06,0.15,0,0,0.0,0.0,0.0
401,莴笋叶[莴苣菜],45,45336,100,95.0,15,62,1.0,0.2,2.9,0.0,0,0.9,2.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,37.0,305,0.0,19,0.2,0.19,0.21,0.05,0.03,0,0,2.0,0.0,0.0
402,蕹菜[空心菜，藤藤菜],45,45337,100,92.3,19,77,2.2,0.2,4.0,0.0,0,1.3,143.0,0.03,0.05,0.0,0.0,0.0,0.22,5.0,0.1,115,37.0,304,0.0,46,1.0,0.27,0.0,0.05,0.52,0,0,143.0,0.0,0.0
403,观达菜[根达菜，牛皮菜],45,45338,100,91.8,23,95,1.9,0.3,4.5,2.8,0,1.5,39.0,0.01,0.24,0.0,0.0,0.0,0.0,6.4,0.5,76,17.0,290,0.0,64,1.3,0.18,1.4,0.02,0.48,0,0,39.0,0.0,0.0
404,球茎茴香[甜茴香、意大利茴香],45,45339,70,93.2,17,71,1.2,0.0,4.7,2.2,0,0.9,1.0,0.03,0.06,0.0,0.0,0.0,0.22,3.3,0.0,76,35.0,24,0.0,23,0.4,0.18,0.0,0.09,0.12,0,0,1.0,0.0,0.0
405,竹笋（鲜）,45,45401,63,92.8,23,96,2.6,0.2,3.6,1.8,0,0.8,0.0,0.08,0.08,0.0,0.0,0.0,0.0,5.0,0.05,9,64.0,389,0.0,1,0.5,0.33,0.04,0.09,1.14,0,0,0.0,0.6,0.03
406,白笋（干）,45,45402,64,10.0,282,1180,26.0,4.0,57.1,43.2,0,2.9,2.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,31,222.0,1754,0.0,22,4.2,3.3,2.34,1.94,2.2,0,10,2.0,0.2,0.0
407,鞭笋（鲜）[马鞭笋],45,45403,45,90.1,24,100,2.6,0.0,6.7,6.6,0,0.6,0.0,0.05,0.09,0.0,0.0,0.0,0.0,7.0,0.0,17,49.0,379,0.0,13,2.5,0.64,0.44,0.08,0.69,0,0,0.0,0.5,0.0
408,春笋（鲜）,45,45404,66,91.4,25,106,2.4,0.1,5.1,2.8,0,1.0,5.0,0.05,0.04,0.0,0.0,0.0,0.0,5.0,0.0,8,36.0,300,0.0,8,2.4,0.43,0.66,0.15,0.78,0,30,5.0,0.4,0.0
409,冬笋（鲜）,45,45405,39,88.1,42,174,4.1,0.1,6.5,0.8,0,1.2,13.0,0.08,0.08,0.0,0.0,0.0,0.0,1.0,0.0,22,56.0,0,0.0,0,0.1,0.0,0.0,0.0,0.0,0,80,13.0,0.6,0.0
410,黑笋（干）,45,45406,76,14.4,268,1120,17.6,2.4,57.5,27.2,0,8.1,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,30,426.0,115,0.0,82,18.9,7.6,4.2,1.3,5.43,0,0,0.0,1.9,0.0
411,毛笋（鲜）[毛竹笋],45,45407,67,93.1,23,97,2.2,0.2,3.8,1.3,0,0.7,0.0,0.04,0.05,0.0,0.0,0.0,0.0,9.0,0.15,16,34.0,318,0.0,8,0.9,0.47,0.38,0.07,0.35,0,0,0.0,0.3,0.15
412,玉兰片,45,45408,100,78.0,66,275,2.6,0.4,18.6,11.3,0,0.4,0.0,0.04,0.07,0.0,0.0,0.0,0.0,1.0,2.24,42,29.0,66,0.0,5,3.6,0.23,0.0,0.04,0.54,0,0,0.0,0.1,1.23
413,百合（鲜）,45,45409,82,56.7,166,692,3.2,0.1,38.8,1.7,0,1.2,0.0,0.02,0.04,0.0,0.0,0.0,0.0,18.0,0.0,11,61.0,510,0.0,43,1.0,0.5,0.2,0.24,0.35,0,0,0.0,0.7,0.0
414,百合（脱水）,45,45411,100,9.9,346,1449,8.1,0.1,79.1,1.7,0,2.8,0.0,0.0,0.02,0.0,0.0,0.0,0.0,7.0,0.0,29,72.0,492,0.0,43,5.0,1.25,3.08,1.7,0.55,0,0,0.0,1.1,0.0
415,金针菜（鲜）[黄花菜],45,45412,98,40.3,214,897,19.4,1.4,34.9,7.7,0,4.0,307.0,0.05,0.21,0.0,0.0,0.0,0.0,10.0,4.92,301,216.0,610,0.0,85,8.1,3.99,4.22,0.37,1.21,0,1840,307.0,3.1,3.56
416,菊苣,45,45413,100,93.8,19,79,1.3,0.2,3.4,0.9,0,1.4,205.0,0.08,0.08,0.0,0.0,0.0,0.0,7.0,0.0,52,28.0,314,0.0,15,0.8,0.79,0.0,0.1,0.42,0,0,205.0,0.4,0.0
417,芦笋（绿）[石刁柏，龙须菜],45,45415,90,93.0,19,79,2.6,0.1,3.3,1.9,0,0.6,17.0,0.04,0.05,0.0,0.0,0.0,0.0,45.0,0.0,10,42.0,213,0.0,10,1.4,0.41,0.21,0.07,0.17,0,0,17.0,0.0,0.0
418,芦笋（紫）,45,45416,93,93.1,22,92,2.7,0.2,3.4,1.3,0,0.6,23.0,0.1,0.13,0.0,0.0,0.0,0.95,8.3,0.54,13,49.0,26,0.0,14,0.4,0.42,0.07,0.12,0.12,0,0,23.0,0.0,0.0
419,结球菊苣（红）,45,45417,89,93.8,17,72,18.0,0.2,3.4,0.0,0,0.8,9.0,0.04,0.04,0.0,0.0,0.0,0.23,2.0,0.2,78,53.0,365,0.0,20,0.8,0.39,0.33,0.1,0.25,0,0,9.0,0.0,0.0
420,软化白菊苣,45,45418,97,94.7,17,70,1.5,0.2,3.1,0.0,0,0.5,1.0,0.04,0.02,0.0,0.0,0.0,0.07,1.0,0.14,11,53.0,216,0.0,20,0.2,0.24,0.21,0.06,0.14,0,0,1.0,0.0,0.0
421,穿心莲,45,45419,100,95.1,17,71,1.7,0.0,2.5,0.0,0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,11,0.0,188,0.0,9,0.2,0.04,0.01,0.03,0.16,0,0,0.0,0.0,0.0
422,红薯叶,45,45420,100,90.8,27,112,3.1,0.0,5.1,2.8,0,1.0,113.0,0.2,0.36,0.0,0.0,0.0,0.0,0.0,1.37,180,38.0,115,0.0,58,1.2,0.21,0.0,0.11,0.93,0,0,113.0,0.0,0.0
423,南瓜藤,45,45421,100,93.3,17,73,1.7,0.0,3.2,0.0,0,1.8,35.0,0.0,0.04,0.0,0.0,0.0,0.0,13.5,0.59,14,53.0,303,0.0,16,1.1,0.35,0.0,0.08,0.15,0,0,35.0,0.0,0.0
424,三七尖,45,45422,100,92.6,21,86,2.3,0.2,4.0,0.0,0,0.9,14.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.15,57,21.0,631,0.0,169,0.1,2.26,5.99,1.19,6.66,0,0,14.0,0.0,0.0
425,棠梨花,45,45423,100,85.6,58,244,3.5,0.8,9.1,0.0,0,1.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,65,49.0,42,0.0,0,2.2,0.55,0.0,0.0,0.0,0,0,0.0,0.0,0.0
426,洋丝瓜苗,45,45424,81,92.2,29,123,4.4,0.3,2.2,0.0,0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,77,72.0,224,0.0,0,3.1,0.44,0.0,0.0,0.0,0,0,0.0,0.0,0.0
427,慈菇（鲜）[乌芋，白地果],46,46001,89,73.6,97,406,4.6,0.2,19.9,1.4,0,1.7,0.0,0.14,0.07,0.0,0.0,0.0,0.0,4.0,2.16,14,157.0,707,0.0,24,2.2,0.99,0.92,0.22,0.39,0,0,0.0,1.6,2.16
428,豆瓣菜（鲜）[西洋菜，水田芥],46,46002,73,94.5,20,82,2.9,0.5,1.5,1.2,0,0.6,1592.0,0.01,0.11,0.0,0.0,0.0,0.0,52.0,0.59,30,26.0,179,0.0,9,1.0,0.69,0.7,0.06,0.25,0,9550,1592.0,0.3,0.59
429,"菱角（老,鲜）[龙角]",46,46003,57,73.0,101,423,4.5,0.1,21.4,1.7,0,1.0,2.0,0.19,0.06,0.0,0.0,0.0,0.0,13.0,0.0,7,93.0,437,0.0,49,0.6,0.62,0.0,0.18,0.38,0,10,2.0,1.5,0.0
430,蒲菜（鲜）[香蒲，甘蒲，野茭白],46,46005,12,95.0,14,56,1.2,0.1,2.4,0.9,0,1.3,2.0,0.03,0.04,0.0,0.0,0.0,0.0,6.0,0.0,53,24.0,0,0.0,0,0.2,0.0,0.0,0.0,0.0,0,10,2.0,0.5,0.0
431,水芹菜,46,46006,60,96.2,13,54,1.4,0.2,1.8,0.9,0,0.4,63.0,0.01,0.19,0.0,0.0,0.0,0.0,5.0,0.32,38,32.0,212,0.0,16,6.9,0.38,0.81,0.1,0.79,0,380,63.0,1.0,0.1
432,茭白（鲜）[茭笋，茭粑],46,46007,74,92.2,26,110,1.2,0.2,5.9,1.9,0,0.5,5.0,0.02,0.03,0.0,0.0,0.0,0.0,5.0,0.99,4,36.0,209,0.0,8,0.4,0.33,0.45,0.06,0.49,0,30,5.0,0.5,0.99
433,荸荠（鲜）[马蹄，地栗],46,46008,78,83.6,61,256,1.2,0.2,14.2,1.1,0,0.8,3.0,0.02,0.02,0.0,0.0,0.0,0.0,7.0,0.65,4,44.0,306,0.0,12,0.6,0.34,0.7,0.07,0.11,0,20,3.0,0.7,0.15
434,莼菜（瓶装）[花案菜],46,46009,100,94.5,21,87,1.4,0.1,3.8,0.5,0,0.2,55.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.9,42,17.0,2,0.0,3,2.4,0.67,0.67,0.04,0.26,0,330,55.0,0.1,0.84
435,藕[莲藕],46,46010,88,80.5,47,200,1.2,0.2,11.5,1.2,0,1.0,3.0,0.09,0.03,0.0,0.0,0.0,0.0,44.0,0.73,39,58.0,243,0.0,19,1.4,0.23,0.39,0.11,1.3,0,0,3.0,0.0,0.0
436,红菱,46,46011,54,51.8,165,695,5.7,0.3,40.9,0.0,0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,79.0,323,0.0,0,1.3,1.25,0.0,0.0,0.0,0,0,0.0,0.0,0.0
437,大薯（鲜）[参薯],47,47101,74,72.1,108,450,2.1,0.2,24.9,1.1,0,0.7,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.25,10,45.0,0,0.0,16,0.8,0.38,0.74,0.17,0.0,0,0,0.0,0.5,0.25
438,豆薯（鲜）[凉薯，地瓜，沙葛],47,47102,91,85.2,56,236,0.9,0.1,13.4,0.8,0,0.4,0.0,0.03,0.03,0.0,0.0,0.0,0.0,13.0,0.86,21,24.0,111,0.0,14,0.6,0.23,0.16,0.07,0.11,0,0,0.0,0.3,0.32
439,葛（鲜）[葛署，粉葛],47,47103,90,60.1,150,628,2.2,0.2,36.1,2.4,0,1.4,0.0,0.09,0.05,0.0,0.0,0.0,0.0,24.0,0.0,0,48.0,0,0.0,0,1.3,0.0,1.22,0.0,0.2,0,0,0.0,0.0,0.0
440,山药（鲜）[薯蓣，大薯],47,47104,83,84.8,57,240,1.9,0.2,12.4,0.8,0,0.7,3.0,0.05,0.02,0.0,0.0,0.0,0.0,5.0,0.24,16,34.0,213,0.0,20,0.3,0.27,0.55,0.24,0.12,0,20,3.0,0.3,0.24
441,山药（干）,47,47105,100,15.0,327,1368,9.4,1.0,70.8,1.4,0,3.8,0.0,0.25,0.28,0.0,0.0,0.0,0.0,0.0,0.44,62,17.0,269,0.0,0,0.4,0.95,3.08,0.63,0.23,0,0,0.0,0.0,0.0
442,槟榔芋（鲜）,47,47202,87,76.4,90,377,3.0,0.1,19.7,1.1,0,0.8,0.0,0.03,0.04,0.0,0.0,0.0,0.0,6.0,0.0,45,33.0,0,0.0,25,1.4,0.0,1.92,0.02,0.0,0,0,0.0,0.3,0.0
443,芋头[芋艿、毛芋],47,47203,88,85.0,56,236,1.3,0.2,12.7,1.0,0,0.8,1.0,0.05,0.02,0.0,0.0,0.0,0.28,1.5,0.0,11,50.0,25,0.0,19,0.3,0.19,0.91,0.06,0.3,0,0,1.0,0.0,0.0
444,芋头（煮）,47,47204,100,83.0,60,251,2.9,0.1,13.0,0.3,0,1.0,0.0,0.06,0.03,0.0,0.0,0.0,0.5,0.0,0.0,16,58.0,317,0.0,0,5.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
445,姜（鲜）[黄姜],47,47301,95,87.0,46,194,1.3,0.6,10.3,2.7,0,0.8,28.0,0.02,0.03,0.0,0.0,0.0,0.0,4.0,0.0,27,25.0,295,0.0,44,1.4,0.34,0.56,0.14,3.2,0,170,28.0,0.8,0.0
446,姜（干）,47,47302,95,14.9,308,1290,9.1,5.7,64.0,17.7,0,6.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,62,22.0,41,0.0,0,85.0,2.3,3.1,0.96,10.65,0,0,0.0,0.0,0.0
447,"姜（子姜,鲜）[嫩姜]",47,47303,82,94.5,21,89,0.7,0.6,3.7,0.9,0,0.5,0.0,0.0,0.01,0.0,0.0,0.0,0.0,2.0,0.0,9,11.0,160,0.0,24,0.8,0.17,0.1,0.03,3.38,0,0,0.0,0.3,0.0
448,洋姜（鲜）[菊芋，鬼子姜],47,47304,100,80.8,64,269,2.4,0.0,15.8,4.3,0,1.0,0.0,0.01,0.1,0.0,0.0,0.0,0.0,5.0,0.88,23,27.0,458,0.0,24,7.2,0.34,1.31,0.19,0.21,0,0,0.0,1.4,0.0
449,艾蒿,48,48001,100,86.4,7,29,0.0,0.0,3.6,3.6,0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,137,60.0,677,0.0,54,7.7,0.78,0.0,0.28,0.84,0,160,27.0,0.0,0.0
450,白花菜,48,48002,100,93.7,28,117,4.0,0.0,5.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,26,6.0,152,0.0,33,0.6,0.18,0.0,0.05,6.0,0,0,0.0,0.0,0.0
451,白花桔梗,48,48003,100,80.9,6,25,0.0,0.0,2.9,2.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,3.67,44,106.0,146,0.0,41,3.1,0.21,0.0,0.05,0.02,0,0,0.0,0.0,0.0
452,白沙蒿（鲜）[沙蒿],48,48004,100,84.0,56,232,4.3,0.9,8.5,1.9,0,2.3,733.0,0.31,0.0,0.0,0.0,0.0,0.0,8.0,0.0,305,82.0,0,0.0,0,16.4,0.0,0.0,0.0,0.0,0,4400,733.0,0.8,0.0
453,白沙蒿子（干）[沙蒿子],48,48005,100,11.0,412,1722,27.9,15.1,41.0,0.0,0,5.0,0.0,0.13,0.11,0.0,0.0,0.0,0.0,0.0,0.0,505,757.0,0,0.0,0,40.4,0.0,0.0,0.0,0.0,0,0,0.0,1.3,0.0
454,白薯叶（鲜）[甘薯叶],48,48006,100,84.0,60,249,4.8,0.7,9.0,1.0,0,1.5,995.0,0.13,0.28,0.0,0.0,0.0,0.0,56.0,0.0,174,40.0,495,0.0,66,3.4,0.32,0.0,0.64,1.41,0,5968,995.0,1.4,0.0
455,百里香（鲜）,48,48007,100,82.8,0,0,0.0,0.0,0.0,0.2,0,0.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,218,42.0,470,0.0,104,27.9,0.72,0.0,1.08,0.94,0,3510,585.0,0.0,0.0
456,败酱（鲜）[胭脂麻],48,48008,100,79.0,69,290,1.5,1.0,17.3,7.5,0,1.2,1003.0,0.0,0.16,0.0,0.0,0.0,0.0,52.0,0.0,235,113.0,456,0.0,80,3.6,1.02,0.0,0.5,16.41,0,6020,1003.0,0.0,0.0
457,扁蓄菜（鲜）[竹节草],48,48009,100,79.0,75,313,6.0,0.6,12.4,2.1,0,2.0,1592.0,0.0,0.58,0.0,0.0,0.0,0.0,158.0,0.0,50,47.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,9550,1592.0,0.0,0.0
458,朝鲜蓟（鲜）,48,48010,100,85.4,54,226,2.7,0.2,10.9,1.1,0,0.8,13.0,0.08,0.06,0.0,0.0,0.0,0.0,11.0,0.0,255,88.0,220,0.0,47,1.6,0.44,0.0,0.07,0.66,0,80,13.0,0.8,0.0
459,刺儿菜（鲜）[小蓟，蓟蓟菜],48,48011,100,87.0,42,174,4.5,0.4,5.9,1.8,0,2.2,998.0,0.04,0.33,0.0,0.0,0.0,0.0,44.0,0.01,252,40.0,253,0.0,36,2.3,0.24,0.0,0.37,0.2,0,5990,998.0,2.2,0.0
460,刺楸（鲜）,48,48012,100,53.9,16,67,0.0,0.0,0.0,8.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,495,125.0,1641,0.0,109,6.5,1.36,0.0,0.65,6.13,0,0,0.0,0.0,0.0
461,达乌里胡枝子（鲜）[牛枝子，豆豆苗],48,48013,100,67.0,491,2054,7.0,1.0,23.1,6.0,0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,61.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
